ID	Feed	SiteSection	Title	Description
httpswwwreuterscomarticleussamsungctcorpsamsungelecsamsungctsamsungelectronicsalmostdoublecostoffinishingnewchiplineidUSKCN1RD184feedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Samsung C&T, Samsung Electronics almost double cost of finishing new chip line	Samsung C&T Corp and Samsung Electronics Co Ltd have almost doubled the size of a contract related to the construction of a semiconductor production line, taking the project's total cost to 1.46 trillion won ($1.29 billion)
httpswwwreuterscomarticleusjapandisplayfundingtroubledapplesupplierjapandisplaytoseekfundingsharessurgeidUSKCN1RD13NfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Troubled Apple supplier Japan Display to seek funding, shares surge	(This April 1 story corrects the full name of OLED in paragraph 2
httpswwwreuterscomarticleuspeoplebezossaudinationalenquirerbezosgirlfriendsbrothersinglesourceforreportsidUSKCN1RC0S1feedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	National Enquirer: Bezos' girlfriend's brother 'single source' for reports	The publisher of the National Enquirer on Sunday said its reports on Amazon Chief Executive Jeff Bezos' private life were based on information from a single source, the brother of Bezos' girlfriend, Lauren Sanchez
httpswwwreuterscomarticleuspeoplebezossaudisaudisgainedaccesstoamazonceobezosphonebezossecuritychiefidUSKCN1RB0RSfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Saudis gained access to Amazon CEO Bezos' phone: Bezos' security chief	The security chief for Amazon chief executive Jeff Bezos said on Saturday that the Saudi government had access to Bezos' phone and gained private information from it
httpswwwreuterscomarticleusfacebookprivacyregulationfacebookceocallsforupdatedinternetregulationsidUSKCN1RB0RXfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Facebook CEO calls for updated internet regulations	Facebook Chief Executive Mark Zuckerberg called on Saturday for regulators to play a "more active role" in establishing rules that govern the internet, as the world's largest social media network struggles to defuse criticism
httpswwwreuterscomarticleuseudaimlernokiapatentsdaimleraskseuantitrustregulatorstoprobenokiapatentsidUSKCN1RA2KFfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Daimler asks EU antitrust regulators to probe Nokia patents	German carmaker Daimler has complained to EU antitrust regulators about Nokia patents essential to car communications, a move underlining the tensions between tech companies and the car industry on the use of key technologies
httpswwwreuterscomarticleustransferwisefundraisingforexfirmtransferwisetosellstakeinnewfundraisingroundsourcesidUSKCN1RA2O1feedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Forex firm TransferWise to sell stake in new fundraising round: sources	TransferWise Ltd, the money transfer startup whose investors include entrepreneur Richard Branson and PayPal Holdings Inc founders Peter Thiel and Max Levchin, is seeking to sell a stake in itself in a new fundraising round, people familiar with the matter said on Friday
httpswwwreuterscomarticleusappletechappleinrarereversalpullsplugonwirelesschargingmatidUSKCN1RA2H7feedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Apple, in rare reversal, pulls plug on wireless charging mat	Apple Inc on Friday said it is canceling the AirPower wireless charging mat that the company announced in 2017 on the same day as its iPhone X, a rare public retreat for the gadget maker known for splashy product launches
httpswwwreuterscomarticleussaudikingdomlyftcareemsaudiskingdomholdingtoinvestcareemproceedsineuropesaudiceoidUSKCN1RA2AUfeedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Saudi's Kingdom Holding to invest Careem proceeds in Europe, Saudi: CEO	Saudi Arabian investment firm Kingdom Holding will put the proceeds from the sale of its stake in ride-hailing startup Careem toward $600 million in investments in the kingdom and Europe, its chief executive told Reuters on Friday
httpswwwreuterscomarticleusdaimlertorcautonomousdaimlerbuystorcroboticsstakeforselfdrivingtrucksidUSKCN1RA1I3feedTypeRSS&feedNametechnologyNews	Reuters	technologyNews	Daimler buys Torc Robotics stake for self-driving trucks	Daimler Trucks has agreed to buy a majority stake in self-driving truck software maker Torc Robotics as part of a broader push to develop autonomous vehicles
